Pages,Pages-href,rent_per_month,address,carpet_area_sqft,floor_no,washrooms,places_nearby,property_age
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,null,null,null,null,null,null,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"35,000","in Dickenson Road, , Bangalore Central, Bangalore",500,null,"5 washrooms available (1 private, 4 shared)",Citibank ATM,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,1.47 Lac,"in POSH COMMERCIAL COMPLEX , 1st Stage Indira Nagar, , Bangalore East, Bangalore",2100,null,2 private washrooms available,Yellamma Temple,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"45,000","in POSH COMMERCIAL COMPLEX , Whitefield, , Bangalore East, Bangalore",1000,null,1 private washroom available,Looking Good Furniture,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,null,null,null,null,null,null,null
,,null,null,null,null,null,null,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"80,000","in Dickenson Road, , Bangalore Central, Bangalore",830,null,"5 washrooms available (1 private, 4 shared)",Citibank ATM,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,1.1 Lac,"in IT TECHPARK , Whitefield, , Bangalore East, Bangalore",2200,null,2 private washrooms available,Looking Good Furniture,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,1.18 Lac,"in Hosur Road, , Bangalore South, Bangalore",2000,null,2 shared washrooms available,null,null
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,"65,000","in 5th block Koramangala, , Bangalore South, Bangalore",null,null,Walls are plastered walls and doors are in place,Sri Prasanna Ganapathi Temple,null
,,"35,000","in Chikkalasandra, , Bangalore South, Bangalore",900,Ground,Private Washrooms available,Shanimahatma Temple,10+ Year Old
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,null,null,null,null,null,null,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,7500,"in Nandini Layout, , Bangalore West, Bangalore",100,Ground,null,Ayyappa Temple,1 to 5 Year Old
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,null,null,null,null,null,null,null
,,null,null,null,null,null,null,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,null,null,null,null,null,null,null
,,"85,000","in Ayappa Nagar, , Bangalore East, Bangalore",1800,1st,Private Washrooms available,Temple,1 to 5 Year Old
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,null,null,null,null,null,null,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,null,null,null,null,null,null,null
,,null,null,null,null,null,null,null
,,"45,000","in JAKKUR, , Bangalore North, Bangalore",1774,1st,Private Washrooms available,null,1 to 5 Year Old
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,null,null,null,null,null,null,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"32,000","in Dickenson Road, , Bangalore Central, Bangalore",450,null,"5 washrooms available (1 private, 4 shared)",Citibank ATM,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,1.46 Lac,"in Richmond Road, , Bangalore Central, Bangalore",2080,null,2 private washrooms available,Saneeswara Temple,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"20,000","in Dickenson Road, , Bangalore Central, Bangalore",250,null,"5 washrooms available (1 private, 4 shared)",Citibank ATM,null
