web-scraper-order,web-scraper-start-url,links,links-href,reat_name,address,cuisine,type,avg_cost,bestselling_items,facilities_features,contact,ratings,reviesws,votes,timing,pages,pages-href
"1655559589-973","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=283","Idli Master","https://www.dineout.co.in/bangalore/idli-master-electronic-city-south-bangalore-84184","Idli Master","Electronic City |","Chinese","QSR","400 for two people","null","Home Delivery","08971308018","null","null","null","Time: 07:30 AM to 10:30 PM (Open Now)Sunday07:30 AM to 10:30 PMMonday07:30 AM to 10:30 PMTuesday07:30 AM to 10:30 PMWednesday07:30 AM to 10:30 PMThursday07:30 AM to 10:30 PMFriday07:30 AM to 10:30 PMSaturday07:30 AM to 10:30 PM","",""
"1655557693-635","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=299","Volga","https://www.dineout.co.in/bangalore/volga-electronic-city-south-bangalore-37370","Volga","Ananda Reddy Building |","North Indian","Casual Dining","500 for two people","Kerala Parotta, Tandoori Chicken","Home Delivery","08095891017","null","null","null","Time: 11:30 AM to 11:30 PM (Open Now)Sunday11:30 AM to 11:30 PMMonday11:30 AM to 11:30 PMTuesday11:30 AM to 11:30 PMWednesday11:30 AM to 11:30 PMThursday11:30 AM to 11:30 PMFriday11:30 AM to 11:30 PMSaturday11:30 AM to 11:30 PM","",""
"1655565187-1956","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=236","Savoury Restaurant","https://www.dineout.co.in/bangalore/savoury-restaurant-cv-raman-nagar-east-bangalore-81703","Savoury Restaurant","CV Raman Nagar |","Arabian","Casual Dining","800 for two people","null","Air Conditioned","08042200077","null","null","null","Time: 12:00 PM to 12:00 AM (Open Now)Sunday12:00 PM to 12:00 AMMonday12:00 PM to 12:00 AMTuesday12:00 PM to 12:00 AMWednesday12:00 PM to 12:00 AMThursday12:00 PM to 12:00 AMFriday12:00 PM to 12:00 AMSaturday12:00 PM to 12:00 AM","",""
"1655580826-4297","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=125","Ocean","https://www.dineout.co.in/bangalore/ocean-koramangala-south-bangalore-9959","Ocean","Koramangala |","Continental","Casual Dining","1,000 for two people","null","Air Conditioned","080-41435672","4.4","4 reviews","12 Votes","Time:  (Opens at 11:00 AM)Sunday11:00 AM to 11:30 PMMonday11:00 AM to 11:30 PMTuesday11:00 AM to 11:30 PMWednesday11:00 AM to 11:30 PMThursday11:00 AM to 11:30 PMFriday11:00 AM to 11:30 PMSaturday11:00 AM to 11:30 PM","",""
"1655564522-1831","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=242","Chatori Gali","https://www.dineout.co.in/bangalore/chatori-gali-jp-nagar-south-bangalore-91810","Chatori Gali","JP Nagar |","Chinese","QSR","800 for two people","null","Air Conditioned","09980370364","null","null","null","Time: 06:00 AM to 10:30 PM (Open Now)Sunday06:00 AM to 10:30 PMMonday06:00 AM to 10:30 PMTuesday06:00 AM to 10:30 PMWednesday06:00 AM to 10:30 PMThursday06:00 AM to 10:30 PMFriday06:00 AM to 10:30 PMSaturday06:00 AM to 10:30 PM","",""
"1655582672-4681","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=106","Chaat Street","https://www.dineout.co.in/bangalore/chaat-street-electronic-city-south-bangalore-67018","Chaat Street","Electronic City |","Street Food","QSR","300 for two people","Bun Tikki Cheese Slider, Bhel Puri, Bun Maska, Bun Dabeli, Samosa Chaat.","Lift","008043334333","null","null","null","Time:  (Opens at 12:00 PM)Sunday12:00 PM to 11:00 PMMonday12:00 PM to 11:00 PMTuesday12:00 PM to 11:00 PMWednesday12:00 PM to 11:00 PMThursday12:00 PM to 11:00 PMFriday12:00 PM to 11:00 PMSaturday12:00 PM to 11:00 PM","",""
"1655559401-941","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=284","Lassi Corner","https://www.dineout.co.in/bangalore/lassi-corner-krishnaraja-puram-east-bangalore-82175","Lassi Corner","Krishnaraja Puram |","Beverages","QSR","300 for two people","null","Home Delivery","null","null","null","null","Time: 11:00 AM to 11:00 PM (Open Now)Sunday11:00 AM to 11:00 PMMonday11:00 AM to 11:00 PMTuesday11:00 AM to 11:00 PMWednesday11:00 AM to 11:00 PMThursday11:00 AM to 11:00 PMFriday11:00 AM to 11:00 PMSaturday11:00 AM to 11:00 PM","",""
"1655564678-1855","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=241","New Prashanth Hotel Nati Style","https://www.dineout.co.in/bangalore/new-prashanth-hotel-nati-style-uttarahalli-south-bangalore-51739","New Prashanth Hotel Nati Style","Uttarahalli |","Andhra","Casual Dining","700 for two people","null","null","07899831276","null","null","null","Time: 07:00 PM to 11:00 PM (Open Now)Sunday12:00 PM to 04:00 PMSunday07:00 PM to 11:00 PMMonday12:00 PM to 04:00 PMMonday07:00 PM to 11:00 PMTuesday12:00 PM to 04:00 PMTuesday07:00 PM to 11:00 PMWednesday12:00 PM to 04:00 PMWednesday07:00 PM to 11:00 PMThursday12:00 PM to 04:00 PMThursday07:00 PM to 11:00 PMFriday12:00 PM to 04:00 PMFriday07:00 PM to 11:00 PMSaturday12:00 PM to 04:00 PMSaturday07:00 PM to 11:00 PM","",""
"1655579279-3972","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=140","Haji Ali Juice Centre","https://www.dineout.co.in/bangalore/haji-ali-juice-centre-commercial-street-central-bangalore-49266","Haji Ali Juice Centre","Commercial Street |","Fast Food","QSR","400 for two people","Sandwiches, Rose Faluda, Pizza, Custard Apple Cream, Pav Bhaji","null","080-41531414","null","null","null","Time:  (Opens at 10:30 AM)Sunday10:30 AM to 01:00 AMMonday10:30 AM to 11:30 PMTuesday10:30 AM to 11:30 PMWednesday10:30 AM to 11:30 PMThursday10:30 AM to 11:30 PMFriday10:30 AM to 11:30 PMSaturday10:30 AM to 01:00 AM","",""
"1655579180-3950","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=141","Meghana Foods","https://www.dineout.co.in/bangalore/meghana-foods-jayanagar-south-bangalore-7533","Meghana Foods","Jayanagar |","North Indian","Casual Dining","700 for two people","null","Air Conditioned","08553262769","4.4","5 reviews","30 Votes","Time:  (Opens at 12:00 PM)Sunday12:00 PM to 04:00 PMSunday07:00 PM to 11:00 PMMonday12:00 PM to 04:00 PMMonday07:00 PM to 11:00 PMTuesday12:00 PM to 04:00 PMTuesday07:00 PM to 11:00 PMWednesday12:00 PM to 04:00 PMWednesday07:00 PM to 11:00 PMThursday12:00 PM to 04:00 PMThursday07:00 PM to 11:00 PMFriday12:00 PM to 04:00 PMFriday07:00 PM to 11:00 PMSaturday12:00 PM to 04:00 PMSaturday07:00 PM to 11:00 PM","",""
"1655561825-1346","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=265","Pop Hop","https://www.dineout.co.in/bangalore/pop-hop-bellandur-south-bangalore-56470","Pop Hop","Bellandur |","Desserts","QSR, Food Court","300 for two people","null","null","09742012945","null","null","null","Time: 11:00 AM to 11:00 PM (Open Now)Sunday11:00 AM to 11:00 PMMonday11:00 AM to 11:00 PMTuesday11:00 AM to 11:00 PMWednesday11:00 AM to 11:00 PMThursday11:00 AM to 11:00 PMFriday11:00 AM to 11:00 PMSaturday11:00 AM to 11:00 PM","",""
"1655580495-4222","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=128","ZOROY Luxury Chocolates","https://www.dineout.co.in/bangalore/zoroy-luxury-chocolates-church-street-central-bangalore-11409","ZOROY Luxury Chocolates","Church Street |","null","null","null","null","Air Conditioned","08880066000","null","null","null","Time:  (Opens at 00:59 AM)","",""
"1655575158-3245","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=175","The Club","https://www.dineout.co.in/bangalore/the-club-mysore-road-west-bangalore-4677","The Club","Mysore Road |","North Indian","Casual Dining","1,000 for two people","null","Air Conditioned","028600665","4.5","null","2 Votes","Time: 12:00 PM to 12:00 AM (Open Now)Sunday12:00 PM to 12:00 AMMonday12:00 PM to 12:00 AMTuesday12:00 PM to 12:00 AMWednesday12:00 PM to 12:00 AMThursday12:00 PM to 12:00 AMFriday12:00 PM to 12:00 AMSaturday12:00 PM to 12:00 AM","",""
"1655582168-4580","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=111","Karavalli","https://www.dineout.co.in/bangalore/karavalli-residency-road-central-bangalore-1249","Karavalli","Vivanta Bengaluru |","Mangalorean","5 Star, Fine Dining","3,500 for two people","null","Smoking Area","080-66604519","4.5","10 reviews","54 Votes","Time:  (Opens at 12:30 PM)Sunday12:30 PM to 03:00 PMSunday06:30 PM to 11:30 PMMonday12:30 PM to 03:00 PMMonday06:30 PM to 11:30 PMTuesday12:30 PM to 03:00 PMTuesday06:30 PM to 11:30 PMWednesday12:30 PM to 03:00 PMWednesday06:30 PM to 11:30 PMThursday12:30 PM to 03:00 PMThursday06:30 PM to 11:30 PMFriday12:30 PM to 03:00 PMFriday06:30 PM to 11:30 PMSaturday12:30 PM to 03:00 PMSaturday06:30 PM to 11:30 PM","",""
"1655580342-4193","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=130","Kollapuri's Non Veg","https://www.dineout.co.in/bangalore/kollapuris-non-veg-basavanagudi-south-bangalore-3369","Kollapuri's Non Veg","Basavanagudi |","Andhra","QSR","400 for two people","null","Home Delivery","080-41205839","3","1 reviews","1 Votes","Time:  (Opens at 12:00 PM)Sunday12:00 PM to 04:00 PMSunday07:00 PM to 10:30 PMMonday12:00 PM to 04:00 PMMonday07:00 PM to 10:30 PMTuesday12:00 PM to 04:00 PMTuesday07:00 PM to 10:30 PMWednesday12:00 PM to 04:00 PMWednesday07:00 PM to 10:30 PMThursday12:00 PM to 04:00 PMThursday07:00 PM to 10:30 PMFriday12:00 PM to 04:00 PMFriday07:00 PM to 10:30 PMSaturday12:00 PM to 04:00 PMSaturday07:00 PM to 10:30 PM","",""
"1655568995-2591","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=206","Bombay Chowpaty Kulfi","https://www.dineout.co.in/bangalore/bombay-chowpaty-kulfi-rt-nagar-north-bangalore-65544","Bombay Chowpaty Kulfi","RT Nagar |","Desserts","QSR","300 for two people","null","null","09870624414","null","null","null","Time: 12:00 PM to 12:00 AM (Open Now)Sunday12:00 PM to 12:00 AMMonday12:00 PM to 12:00 AMTuesday12:00 PM to 12:00 AMWednesday12:00 PM to 12:00 AMThursday12:00 PM to 12:00 AMFriday12:00 PM to 12:00 AMSaturday12:00 PM to 12:00 AM","",""
"1655577831-3697","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=153","Brewz Coffee","https://www.dineout.co.in/bangalore/brewz-coffee-btm-layout-south-bangalore-25298","Brewz Coffee","BTM Layout |","Fast Food","Cafe","700 for two people","French Fries, Cafe Latte, Chicken Tikka, Mac Chicken, Paneer Tikka.","Air Conditioned","07899963628","5","null","1 Votes","Time:  (Opens at 10:30 AM)Sunday10:30 AM to 10:30 PMMonday10:30 AM to 10:30 PMTuesday10:30 AM to 10:30 PMWednesday10:30 AM to 10:30 PMThursday10:30 AM to 10:30 PMFriday10:30 AM to 10:30 PMSaturday10:30 AM to 10:30 PM","",""
