links-href,name,address,carpet_area,built_up_area,floor,deposite,parking,washrooms,amenities,rent
https://housing.com/commercial/rent/100022842-showroom-for-rent-in-hsr-layout-bangalore-bangalore-for-rs-750000,"7000 sq.ft Showroom, HSR Layout, Bangalore","Sector 1, HSR Layout, Bangalore",7000 sq.ft,8850 sq.ft,2nd/ 6 floors,null,null,null,,7.5 Lacs
https://housing.com/commercial/rent/100022984-ready-to-use-office-space-for-rent-in-hsr-layout-bangalore-bangalore-for-rs-515000,"4000 sq.ft Ready to use Office Space, HSR Layout, Bangalore","Sector 1, HSR Layout, Bangalore",4000 sq.ft,4958 sq.ft,Ground Floor/ 5 floors,null,null,null,,5.2 Lacs
https://housing.com/commercial/rent/100015222-ready-to-use-office-space-for-rent-in-hsr-layout-bangalore-bangalore-for-rs-600000,"8680 sq.ft Ready to use Office Space, HSR Layout, Bangalore","Sector 1, HSR Layout, Bangalore",8680 sq.ft,9121 sq.ft,"1st,Ground Floor,2nd,3rd,4th/ 4 floors",null,null,null,,6.0 Lacs
https://housing.com/commercial/rent/100017705-ready-to-use-office-space-for-rent-in-hsr-layout-bangalore-bangalore-for-rs-40000,"1400 sq.ft Ready to use Office Space, HSR Layout, Bangalore","HSR Layout, Bangalore",1400 sq.ft,1350 sq.ft,2nd/ 4 floors,null,null,null,,"40,000"
https://housing.com/commercial/rent/100015426-ready-to-use-office-space-for-rent-in-vijayanagar-bangalore-for-rs-18000,"1100 sq.ft Ready to use Office Space, Vijayanagar, Bangalore","Saraswathi Nagar, Vijayanagar, Bangalore",1100 sq.ft,1000 sq.ft,B1/ 2 floors,null,null,null,,"18,000"
https://housing.com/commercial/rent/100017693-ready-to-use-office-space-for-rent-in-hsr-layout-bangalore-bangalore-for-rs-40000,"1400 sq.ft Ready to use Office Space, HSR Layout, Bangalore","HSR Layout, Bangalore",1400 sq.ft,1350 sq.ft,2nd/ 4 floors,null,null,null,,"40,000"
https://housing.com/commercial/rent/100027608-shop-for-rent-in-hsr-layout-bangalore-bangalore-for-rs-21000,"220 sq.ft Shop, HSR Layout, Bangalore","Sector 1, HSR Layout, Bangalore",220 sq.ft,200 sq.ft,"Ground Floor,1st/ 4 floors",null,null,null,,"21,000"
https://housing.com/commercial/rent/100027623-shop-for-rent-in-hsr-layout-bangalore-bangalore-for-rs-21000,"220 sq.ft Shop, HSR Layout, Bangalore","Sector 1, HSR Layout, Bangalore",220 sq.ft,200 sq.ft,"Ground Floor,1st/ 5 floors",null,null,null,,"21,000"
https://housing.com/commercial/rent/100017347-ready-to-use-office-space-for-rent-in-hsr-layout-bangalore-bangalore-for-rs-40000,"1400 sq.ft Ready to use Office Space, HSR Layout, Bangalore","Sector 4, HSR Layout, Bangalore",1400 sq.ft,1350 sq.ft,2nd/ 4 floors,null,null,null,,"40,000"
https://housing.com/commercial/rent/100016904-ready-to-use-office-space-for-rent-in-hsr-layout-bangalore-bangalore-for-rs-125000,"1800 sq.ft Ready to use Office Space, HSR Layout, Bangalore","Sector 7, HSR Layout, Bangalore",1800 sq.ft,2000 sq.ft,3rd/ 3 floors,null,null,null,,1.3 Lacs
https://housing.com/commercial/rent/100017544-bare-shell-office-space-for-rent-in-hsr-layout-bangalore-bangalore-for-rs-45000,"1000 sq.ft Bare shell Office Space, HSR Layout, Bangalore","Sector 4, HSR Layout, Bangalore",null,1000 sq.ft,Ground Floor/ 2 floors,null,null,null,,"45,000"
https://housing.com/commercial/rent/100018220-showroom-for-rent-in-vijayanagar-bangalore-for-rs-500000,"3500 sq.ft Showroom, Vijayanagar, Bangalore","Saraswathi Nagar, Vijayanagar, Bangalore",3500 sq.ft,3200 sq.ft,Ground Floor/ 4 floors,null,null,null,,5.0 Lacs
https://housing.com/commercial/rent/100024163-ready-to-use-office-space-for-rent-in-vijayanagar-bangalore-for-rs-29000,"2400 sq.ft Ready to use Office Space, Vijayanagar, Bangalore","Saraswathi Nagar, Vijayanagar, Bangalore",2400 sq.ft,1950 sq.ft,1st/ 2 floors,null,null,null,,"29,000"
https://housing.com/commercial/rent/100024167-ready-to-use-office-space-for-rent-in-hsr-layout-bangalore-bangalore-for-rs-65000,"2400 sq.ft Ready to use Office Space, HSR Layout, Bangalore","Sector 2, HSR Layout, Bangalore",2400 sq.ft,2200 sq.ft,"1st,2nd,B1/ 3 floors",null,null,null,,"65,000"
https://housing.com/commercial/rent/100021167-showroom-for-rent-in-hsr-layout-bangalore-bangalore-for-rs-85000,"1700 sq.ft Showroom, HSR Layout, Bangalore","Sector 3, HSR Layout, Bangalore",1700 sq.ft,1900 sq.ft,"4th,3rd/ 5 floors",null,null,null,,"85,000"
