links-href,name,address,rate,built_up_area,carpet_area,floor_no,type,landmark,booking_amount,washrooms
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-samethanahalli-bangalore-1934-sq-ft-2-lac-1011863.htm,"Commercial Shop for Rent in Samethanahalli, Bangalore","Samethanahalli, Bangalore, Karnataka by HI-TECH REALTY WAREHOUSE RENTING SERVICES - View Map",2 Lac,Built Up Area 1934 Sq.ft.,Carpet Area 1900 Sq.ft.,Type Commercial Shops,Ownership Agent,Bus Stop 1 kms,5 Lac,Washrooms 2 Baths
https://www.realestateindia.com/property-detail/hotel-restaurant-for-rent-in-basaveshwara-nagar-bangalore-192-sq-ft-1-50-lac-1045224.htm,"Hotels for Rent in Basaveshwara Nagar, Bangalore","Basaveshwara Nagar, Bangalore, Karnataka by Sandhya M - View Map",1.50 Lac,Carpet Area 192 Sq.ft.,Super Area 192 Sq.ft.,Property on Floor Ground,Type Hotels,Railway Station 3 kms,Ready to Move,Built Up Area 192 Sq.ft.
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-kadubeesanahalli-bangalore-220-sq-ft-20-000-1037330.htm,"Commercial Shop for Rent in Kadubeesanahalli, Bangalore","Kadubeesanahalli, Bangalore, Karnataka by Syed Abdul Rabbani Bareed - View Map","20,000",Carpet Area 200 Sq.ft.,Ownership Individual,Property on Floor Ground,Project & Society Anwar Layout,Airport 40 kms,1 Lac,Built Up Area 220 Sq.ft.
https://www.realestateindia.com/property-detail/showrooms-for-rent-in-jakkur-bangalore-2050-sq-ft-70-000-1052064.htm,"Showroom for Rent in Jakkur, Bangalore","Jakkur, Bangalore, Karnataka by Sushma S - View Map","70,000",Built Up Area 2050 Sq.ft.,Carpet Area 1676 Sq.ft.,Property on Floor Ground,Type Showrooms,Hospitals 3 kms,5 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/showrooms-for-rent-in-jayanagar-bangalore-1590-sq-ft-35-000-1051775.htm,"Showroom for Rent in Jayanagar, Bangalore","Jayanagar, Bangalore, Karnataka by Mallikarjun M G - View Map","35,000",Built Up Area 1590 Sq.ft.,Carpet Area 1450 Sq.ft.,Property on Floor Ground,Type Showrooms,Shopping Mall 1 kms,3 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/showrooms-for-rent-in-jakkur-bangalore-2050-sq-ft-70-000-1052064.htm,"Showroom for Rent in Jakkur, Bangalore","Jakkur, Bangalore, Karnataka by Sushma S - View Map","70,000",Built Up Area 2050 Sq.ft.,Carpet Area 1676 Sq.ft.,Property on Floor Ground,Type Showrooms,Shopping Mall 3 kms,5 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-challaghatta-bangalore-400-sq-ft-15-000-1035383.htm,"Commercial Shop for Rent in Challaghatta, Bangalore","Challaghatta, Bangalore, Karnataka by Tejash Reddy - View Map","15,000",Built Up Area 400 Sq.ft.,Ownership Individual,null,Property on Floor Ground,Hospitals 2.5 kms,"50,000",Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-indiranagar-kodihalli-bangalore-112-sq-ft-23-000-1034187.htm,"Commercial Shop for Rent in Indiranagar, Kodihalli, Bangalore","Kodihalli, Indiranagar, Kodihalli, Bangalore, Karnataka by mohanraj - View Map","23,000",Ownership Individual,Type Commercial Shops,null,Total Floors 1,ATM <1 kms,2 Lac,Built Up Area 112 Sq.ft.
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-samethanahalli-bangalore-1934-sq-ft-2-lac-1011863.htm,"Commercial Shop for Rent in Samethanahalli, Bangalore","Samethanahalli, Bangalore, Karnataka by HI-TECH REALTY WAREHOUSE RENTING SERVICES - View Map",2 Lac,Built Up Area 1934 Sq.ft.,Carpet Area 1900 Sq.ft.,Type Commercial Shops,Ownership Agent,Hospitals 5 kms,5 Lac,Washrooms 2 Baths
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-hosa-road-bangalore-600-sq-ft-18-000-1028229.htm,"Commercial Shop for Rent in Hosa Road, Bangalore","Hosa Road, Bangalore, Karnataka by Dhramveer - View Map","18,000",Built Up Area 600 Sq.ft.,Carpet Area 550 Sq.ft.,Property on Floor Ground,Type Commercial Shops,Shopping Mall .3 kms,1 Lac,Washrooms 1 Bath
